transaction_id,account_id,date,region,txn_type,merchant,amount
3581,100062,2024-01-01,East,Withdrawal,—,-99.3
3072,100472,2024-01-01,South,POS,Lyft,-212.91
3276,100424,2024-01-01,South,POS,Lyft,-177.34
1029,100442,2024-01-01,South,Withdrawal,—,-38.89
447,100344,2024-01-01,East,Deposit,—,32.78
992,100058,2024-01-01,North,Withdrawal,—,-62.12
756,100238,2024-01-01,West,Deposit,—,67.11
649,100334,2024-01-01,East,Withdrawal,—,-271.56
1165,100113,2024-01-01,West,Fee,—,-152.76
2071,100070,2024-01-01,South,Deposit,—,24.0
849,100324,2024-01-01,South,Deposit,—,124.05
1988,100473,2024-01-01,East,Deposit,—,111.3
2011,100491,2024-01-01,West,POS,HomeDepot,-135.14
678,100101,2024-01-01,East,Transfer,—,120.02
3331,100417,2024-01-02,East,Deposit,—,60.72
1824,100148,2024-01-02,West,Deposit,—,203.85
264,100080,2024-01-02,South,Deposit,—,194.41
1949,100189,2024-01-02,South,Deposit,—,350.38
207,100015,2024-01-02,South,POS,Costco,-34.12
1290,100025,2024-01-02,South,Withdrawal,—,-131.13
2174,100481,2024-01-02,East,Transfer,—,53.48
2911,100089,2024-01-02,North,Deposit,—,42.13
64,100403,2024-01-02,North,Withdrawal,—,-125.49
3153,100034,2024-01-02,North,Deposit,—,31.17
1519,100421,2024-01-03,South,Online,Walmart,-133.36
2322,100317,2024-01-03,South,POS,Target,-39.81
3931,100389,2024-01-03,South,Withdrawal,—,-120.46
1578,100437,2024-01-03,West,Deposit,—,207.07
2678,100396,2024-01-03,South,Refund,—,206.77
2732,100354,2024-01-03,East,Deposit,—,106.36
3770,100406,2024-01-03,North,Withdrawal,—,-227.65
2125,100298,2024-01-03,West,Online,Apple,-49.72
2658,100130,2024-01-03,West,Withdrawal,—,-334.63
896,100449,2024-01-03,South,Fee,—,-37.82
1865,100450,2024-01-03,South,Withdrawal,—,-126.18
497,100082,2024-01-04,West,Withdrawal,—,-49.97
3078,100153,2024-01-04,South,Withdrawal,—,-123.05
3867,100307,2024-01-04,West,Deposit,—,129.63
1487,100017,2024-01-04,South,Withdrawal,—,-107.14
1724,100067,2024-01-04,South,Deposit,—,142.07
1912,100377,2024-01-04,East,Deposit,—,60.06
969,100206,2024-01-04,West,Withdrawal,—,-187.56
2729,100425,2024-01-04,East,POS,Uber,-91.64
1329,100233,2024-01-04,South,Transfer,—,-156.53
326,100487,2024-01-04,North,Deposit,—,12.49
949,100059,2024-01-04,North,Transfer,—,160.86
3478,100182,2024-01-05,East,Withdrawal,—,-328.89
614,100237,2024-01-05,West,Deposit,—,78.37
416,100337,2024-01-05,East,POS,Starbucks,-51.73
3495,100219,2024-01-05,West,Withdrawal,—,-52.23
2331,100328,2024-01-05,South,Deposit,—,83.36
721,100035,2024-01-05,West,Deposit,—,150.85
843,100127,2024-01-05,North,Withdrawal,—,-57.77
1045,100345,2024-01-05,East,Fee,—,-153.76
129,100366,2024-01-05,North,Deposit,—,129.64
2282,100123,2024-01-05,North,Refund,—,47.44
1562,100249,2024-01-05,East,Withdrawal,—,-113.84
2910,100086,2024-01-05,North,POS,HomeDepot,-39.69
3908,100015,2024-01-05,South,Withdrawal,—,-26.91
1092,100164,2024-01-05,North,Online,Costco,-222.27
2432,100492,2024-01-05,South,Withdrawal,—,-225.57
2052,100428,2024-01-05,South,Transfer,—,114.99
935,100122,2024-01-06,North,Online,Apple,-30.2
742,100260,2024-01-06,South,POS,Airbnb,-136.14
965,100158,2024-01-06,East,Deposit,—,135.7
335,100378,2024-01-06,East,Withdrawal,—,-119.29
3932,100044,2024-01-06,East,POS,Starbucks,-45.92
606,100076,2024-01-07,West,Deposit,—,33.07
1860,100226,2024-01-07,South,Deposit,—,245.73
895,100146,2024-01-07,North,Withdrawal,—,-12.15
3837,100424,2024-01-07,East,Transfer,—,-20.17
2468,100184,2024-01-07,North,Transfer,—,168.81
2863,100433,2024-01-07,East,POS,Costco,-371.34
1278,100183,2024-01-07,East,Withdrawal,—,-25.01
1463,100166,2024-01-07,East,Withdrawal,—,-80.89
1715,100183,2024-01-07,West,Deposit,—,182.71
3380,100275,2024-01-07,South,Withdrawal,—,-91.99
1651,100226,2024-01-07,North,Fee,—,-123.64
2382,100371,2024-01-07,North,POS,Amazon,-178.64
829,100245,2024-01-08,East,Transfer,—,-272.98
3978,100031,2024-01-08,South,Online,Walmart,-122.93
3981,100042,2024-01-08,North,POS,Starbucks,-86.74
1765,100136,2024-01-08,East,Withdrawal,—,-150.71
3289,100141,2024-01-08,South,Withdrawal,—,-99.84
2566,100492,2024-01-08,West,Transfer,—,-67.59
2045,100295,2024-01-08,North,Deposit,—,139.13
2967,100010,2024-01-08,South,Withdrawal,—,-146.51
3182,100378,2024-01-08,North,Withdrawal,—,-159.95
1251,100103,2024-01-08,South,Transfer,—,-98.73
2990,100166,2024-01-08,East,Withdrawal,—,-181.28
876,100309,2024-01-08,North,Deposit,—,36.91
1942,100208,2024-01-08,West,Deposit,—,88.01
2544,100017,2024-01-08,North,POS,Airbnb,-36.67
3934,100278,2024-01-08,North,Transfer,—,39.17
688,100241,2024-01-08,North,Withdrawal,—,-212.47
3476,100438,2024-01-08,East,Deposit,—,12.73
270,100140,2024-01-09,West,Transfer,—,-51.08
1598,100186,2024-01-09,East,Online,Apple,-195.22
1320,100180,2024-01-09,South,Deposit,—,219.17
2204,100208,2024-01-09,South,POS,Costco,-62.12
1568,100012,2024-01-09,South,Transfer,—,187.29
1784,100403,2024-01-09,North,Withdrawal,—,-105.62
602,100274,2024-01-09,North,Deposit,—,42.29
98,100153,2024-01-09,South,Withdrawal,—,-62.61
1844,100471,2024-01-09,North,POS,Delta,-73.85
2602,100470,2024-01-10,West,Deposit,—,115.13
2684,100110,2024-01-10,East,Deposit,—,56.72
1973,100414,2024-01-10,East,Deposit,—,34.32
2525,100331,2024-01-10,West,Fee,—,-144.11
485,100480,2024-01-10,North,Transfer,—,29.43
2206,100381,2024-01-10,North,Withdrawal,—,-167.9
3652,100476,2024-01-10,West,Deposit,—,110.61
1091,100256,2024-01-10,East,Withdrawal,—,-152.38
1004,100478,2024-01-10,East,POS,Starbucks,-46.55
715,100310,2024-01-10,South,Withdrawal,—,-61.49
1539,100005,2024-01-11,East,Withdrawal,—,-201.61
2601,100189,2024-01-11,North,Deposit,—,133.73
3726,100448,2024-01-11,West,Deposit,—,169.84
1802,100043,2024-01-11,East,Withdrawal,—,-19.64
2241,100282,2024-01-11,North,Refund,—,49.46
1380,100055,2024-01-11,West,Refund,—,121.27
1293,100363,2024-01-11,West,POS,Costco,-170.33
1123,100480,2024-01-11,South,Withdrawal,—,-6.35
3943,100096,2024-01-11,South,Withdrawal,—,-38.08
2369,100158,2024-01-12,West,Withdrawal,—,-173.74
1424,100485,2024-01-12,West,POS,Shell,-188.67
2696,100114,2024-01-12,North,Withdrawal,—,-178.71
3499,100041,2024-01-12,South,Deposit,—,40.18
3000,100149,2024-01-12,North,Deposit,—,58.25
3668,100093,2024-01-12,North,Withdrawal,—,-83.08
1668,100320,2024-01-12,East,Transfer,—,-151.3
682,100412,2024-01-12,East,POS,Delta,-35.72
1701,100138,2024-01-12,East,Deposit,—,125.27
2413,100479,2024-01-12,West,POS,Shell,-42.11
1755,100446,2024-01-12,South,Fee,—,-57.46
2021,100431,2024-01-12,South,Deposit,—,138.62
852,100450,2024-01-12,North,Deposit,—,166.18
1873,100202,2024-01-12,East,Transfer,—,-122.27
519,100300,2024-01-12,South,Transfer,—,-123.42
1871,100496,2024-01-12,South,Withdrawal,—,-92.06
2319,100033,2024-01-12,West,POS,BestBuy,-57.38
2134,100388,2024-01-12,East,Withdrawal,—,-32.64
3841,100030,2024-01-12,West,Transfer,—,101.17
1434,100445,2024-01-12,North,Withdrawal,—,-160.2
2485,100200,2024-01-13,South,Withdrawal,—,-64.4
379,100411,2024-01-13,West,Withdrawal,—,-56.44
3782,100105,2024-01-13,South,POS,Uber,-214.46
3794,100284,2024-01-13,East,Withdrawal,—,-147.13
555,100072,2024-01-13,North,Withdrawal,—,-168.79
3543,100327,2024-01-13,South,Withdrawal,—,-74.12
3622,100246,2024-01-13,East,Transfer,—,84.11
3722,100365,2024-01-13,North,Transfer,—,-161.58
1008,100345,2024-01-13,North,Withdrawal,—,-36.75
917,100238,2024-01-13,North,Withdrawal,—,-58.08
3749,100289,2024-01-13,South,Withdrawal,—,-125.47
152,100068,2024-01-13,South,POS,Costco,-83.52
2690,100455,2024-01-13,South,POS,Shell,-152.61
1671,100041,2024-01-13,North,Deposit,—,136.11
2471,100362,2024-01-14,West,POS,Target,-99.15
676,100120,2024-01-14,South,Deposit,—,91.97
892,100205,2024-01-14,West,POS,Lyft,-165.99
1870,100179,2024-01-14,South,Deposit,—,252.98
1956,100165,2024-01-14,West,Withdrawal,—,-22.99
1058,100221,2024-01-14,South,Deposit,—,79.81
1473,100081,2024-01-14,North,Deposit,—,89.81
2383,100137,2024-01-14,South,Deposit,—,217.92
1947,100207,2024-01-14,North,Withdrawal,—,-171.57
1319,100154,2024-01-14,East,Deposit,—,212.26
2731,100064,2024-01-14,West,Fee,—,-155.57
2698,100406,2024-01-14,South,Withdrawal,—,-67.54
3657,100037,2024-01-14,North,Transfer,—,103.64
886,100498,2024-01-14,East,Online,Target,-60.58
51,100115,2024-01-14,South,Deposit,—,82.21
1104,100301,2024-01-15,South,POS,Delta,-40.02
135,100163,2024-01-15,West,Withdrawal,—,-174.45
1078,100387,2024-01-15,South,Transfer,—,49.95
1776,100289,2024-01-15,East,POS,Shell,-104.27
904,100029,2024-01-15,North,Deposit,—,40.48
1486,100047,2024-01-15,East,POS,Costco,-126.73
93,100108,2024-01-15,South,POS,Airbnb,-62.26
3916,100080,2024-01-15,North,Deposit,—,69.38
3189,100098,2024-01-15,North,Withdrawal,—,-85.77
1749,100384,2024-01-15,West,Deposit,—,79.15
3754,100055,2024-01-16,East,Withdrawal,—,-139.46
498,100153,2024-01-16,North,Deposit,—,75.65
3842,100157,2024-01-16,North,Deposit,—,305.04
1455,100459,2024-01-16,South,Transfer,—,-33.7
3002,100452,2024-01-16,West,Withdrawal,—,-88.58
3162,100215,2024-01-16,North,Transfer,—,51.8
3613,100205,2024-01-16,South,Deposit,—,244.27
1491,100195,2024-01-16,West,Withdrawal,—,-107.41
1409,100343,2024-01-17,East,Deposit,—,110.81
3805,100178,2024-01-17,West,Withdrawal,—,-104.67
3261,100020,2024-01-17,East,Deposit,—,16.86
1700,100370,2024-01-17,South,Withdrawal,—,-190.21
2903,100254,2024-01-17,West,Transfer,—,392.63
3880,100378,2024-01-17,South,Transfer,—,-92.84
330,100445,2024-01-17,South,Transfer,—,151.06
1345,100118,2024-01-17,West,Deposit,—,193.7
1429,100407,2024-01-17,North,Deposit,—,183.58
1676,100170,2024-01-17,North,Refund,—,57.96
2517,100333,2024-01-17,East,Transfer,—,-114.52
1184,100067,2024-01-17,South,Fee,—,-187.09
2551,100399,2024-01-17,South,Transfer,—,-123.46
3501,100190,2024-01-17,South,Withdrawal,—,-207.61
1936,100190,2024-01-18,East,Deposit,—,111.81
1228,100181,2024-01-18,East,Deposit,—,37.17
2624,100211,2024-01-18,West,Withdrawal,—,-66.45
353,100439,2024-01-18,South,Online,Walmart,-95.21
2098,100439,2024-01-19,East,Withdrawal,—,-87.67
2220,100186,2024-01-19,North,Deposit,—,52.31
1227,100054,2024-01-19,East,Transfer,—,217.43
2661,100196,2024-01-19,North,Deposit,—,96.4
3569,100463,2024-01-19,East,Refund,—,79.05
2260,100375,2024-01-19,East,Withdrawal,—,-141.59
2757,100087,2024-01-19,North,Deposit,—,170.41
567,100211,2024-01-19,East,Deposit,—,73.57
3279,100057,2024-01-19,West,Withdrawal,—,-45.01
3962,100333,2024-01-19,North,Online,Lyft,-122.91
637,100444,2024-01-19,North,POS,BestBuy,-156.46
2008,100062,2024-01-20,South,Deposit,—,141.31
1570,100126,2024-01-20,North,Transfer,—,57.83
2421,100105,2024-01-20,East,Withdrawal,—,-126.32
672,100002,2024-01-20,East,Withdrawal,—,-94.26
2712,100438,2024-01-20,West,Deposit,—,68.35
2725,100429,2024-01-20,East,POS,Walmart,-289.86
1915,100102,2024-01-20,South,Deposit,—,149.85
2700,100076,2024-01-20,East,POS,Google,-56.21
988,100210,2024-01-20,North,POS,HomeDepot,-42.33
3497,100499,2024-01-20,West,Withdrawal,—,-274.04
1297,100147,2024-01-20,North,Deposit,—,44.79
384,100058,2024-01-20,North,Withdrawal,—,-439.5
2934,100154,2024-01-20,West,Withdrawal,—,-88.39
3083,100419,2024-01-21,East,Fee,—,-144.14
3006,100052,2024-01-21,East,Withdrawal,—,-241.64
1741,100082,2024-01-21,East,Withdrawal,—,-138.28
3640,100268,2024-01-21,South,Refund,—,77.53
2146,100460,2024-01-21,West,Transfer,—,124.76
3731,100131,2024-01-21,North,POS,Amazon,-110.59
1938,100181,2024-01-21,South,Deposit,—,72.44
2512,100358,2024-01-21,East,Transfer,—,-47.87
45,100090,2024-01-21,North,Fee,—,-114.95
3778,100322,2024-01-21,North,Online,Netflix,-103.58
2860,100407,2024-01-21,West,Withdrawal,—,-75.57
2877,100250,2024-01-21,East,Transfer,—,23.5
3453,100098,2024-01-21,West,Fee,—,-55.44
7,100321,2024-01-21,East,Withdrawal,—,-51.49
3196,100332,2024-01-21,West,POS,Delta,-135.92
1864,100191,2024-01-22,East,Withdrawal,—,-111.35
1703,100304,2024-01-22,North,Withdrawal,—,-190.16
1735,100464,2024-01-22,South,Transfer,—,-96.89
2912,100236,2024-01-22,East,Withdrawal,—,-194.27
847,100070,2024-01-22,South,Deposit,—,26.2
26,100246,2024-01-22,West,Deposit,—,75.41
3661,100309,2024-01-22,East,POS,BestBuy,-79.81
2641,100450,2024-01-22,South,Deposit,—,57.23
308,100188,2024-01-22,West,Withdrawal,—,-72.7
3548,100213,2024-01-22,East,Transfer,—,-332.52
1658,100139,2024-01-23,East,Transfer,—,112.14
3649,100097,2024-01-23,South,POS,HomeDepot,-107.1
3369,100153,2024-01-23,East,Withdrawal,—,-130.22
3596,100445,2024-01-23,South,Deposit,—,102.27
3719,100156,2024-01-23,West,Withdrawal,—,-173.01
2662,100474,2024-01-23,South,Deposit,—,173.63
748,100463,2024-01-23,West,Online,HomeDepot,-71.95
1063,100479,2024-01-23,South,Deposit,—,92.05
1130,100275,2024-01-23,South,Withdrawal,—,-168.31
483,100265,2024-01-23,North,Online,Amazon,-59.66
2713,100461,2024-01-24,South,Deposit,—,295.04
3808,100019,2024-01-24,West,Online,Target,-64.78
1773,100141,2024-01-24,South,Withdrawal,—,-104.53
3724,100017,2024-01-24,West,Deposit,—,79.36
2739,100375,2024-01-24,East,POS,Walmart,-329.91
1910,100437,2024-01-24,North,Refund,—,189.25
1600,100422,2024-01-25,West,Deposit,—,255.94
3018,100386,2024-01-25,North,Withdrawal,—,-98.77
3886,100475,2024-01-25,North,Withdrawal,—,-113.61
2406,100305,2024-01-25,East,Transfer,—,75.66
581,100068,2024-01-25,East,Withdrawal,—,-66.91
1874,100060,2024-01-25,South,Deposit,—,98.15
2393,100422,2024-01-25,North,Deposit,—,265.45
2409,100208,2024-01-25,East,POS,Delta,-48.32
3579,100416,2024-01-25,West,Deposit,—,89.01
1178,100196,2024-01-25,East,Transfer,—,93.85
919,100359,2024-01-25,West,Withdrawal,—,-46.46
1415,100030,2024-01-25,East,Deposit,—,230.55
1191,100073,2024-01-25,North,Withdrawal,—,-67.07
1445,100180,2024-01-25,West,Withdrawal,—,-78.02
915,100005,2024-01-25,North,Withdrawal,—,-86.84
3192,100482,2024-01-26,East,Transfer,—,214.75
1721,100292,2024-01-26,West,Transfer,—,202.27
376,100096,2024-01-26,South,Withdrawal,—,-74.29
978,100367,2024-01-26,West,POS,Airbnb,-40.16
